,User,Search Term,Tweet Text,Compound Score,Positive,Neutral,Negative,Timestamp
122,KennethHowardC3,@cbsnews,"RT @DJGREYBOY: @CBSNews hell fucking no....please,",-0.6808,0.0,0.479,0.521,1590293216.0
123,KennethHowardC3,@cbsnews,RT @NancysBooze: @CBSNews https://t.co/7DfycuuqwT,0.0,0.0,0.0,1.0,1590293215.0
124,KennethHowardC3,@cbsnews,RT @NancysBooze: @CBSNews https://t.co/b5g8lNHLD5,0.0,0.0,0.0,1.0,1590293213.0
125,KennethHowardC3,@cbsnews,"RT @NancysBooze: @s55_robert @CBSNews I'm sure he is,....I'm sure he is. https://t.co/okPXN5oQmj",0.5574,0.315,0.0,0.685,1590293211.0
126,Wile_Coyote_ESQ,@cbsnews,@s55_robert @CBSNews Yeah ... https://t.co/fFplnYYIeg,0.296,0.355,0.0,0.645,1590293211.0
127,KennethHowardC3,@cbsnews,RT @PrestonJacobso8: @CBSNews Oh no not this broad again. One of the most annoying voices of all time. If he’s going to go with a woman I’d…,-0.6361,0.0,0.172,0.828,1590293208.0
128,KennethHowardC3,@cbsnews,RT @naugusta: @CBSNews 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0.9929,0.428,0.214,0.358,1590293205.0
129,KennethHowardC3,@cbsnews,RT @scottpw7: @armmoran @CBSNews take more English classes,0.0,0.0,0.0,1.0,1590293203.0
130,KennethHowardC3,@cbsnews,RT @armmoran: @CBSNews Oh this should fun,0.5106,0.355,0.0,0.645,1590293202.0
131,KennethHowardC3,@cbsnews,RT @JohnHime: @CBSNews Ol’ Comfortable Shoes.....,0.5106,0.398,0.0,0.602,1590293201.0
132,KennethHowardC3,@cbsnews,RT @Salem_Blackcat2: @CBSNews Who is she?,0.0,0.0,0.0,1.0,1590293199.0
133,EvalyneKeshi,@cbsnews,RT @CBSNews: Biden asks Amy Klobuchar to undergo vetting as possible running mate https://t.co/h5gpEiAqT9 https://t.co/3eOGUZjeRd,0.0,0.0,0.0,1.0,1590293198.0
134,KennethHowardC3,@cbsnews,"RT @jchaven: @CBSNews This campaign has gone 20-years ago white. 🙁
#BidenHarris",-0.2748,0.0,0.139,0.861,1590293197.0
135,KennethHowardC3,@cbsnews,RT @DAlanLambert2: @CBSNews Posted 5x since YESTERDAY....,0.0,0.0,0.0,1.0,1590293194.0
136,KennethHowardC3,@cbsnews,RT @Nickupcharge: @Wile_Coyote_ESQ @CBSNews I believe that’s an old meme from 2016,0.0,0.0,0.0,1.0,1590293193.0
137,KennethHowardC3,@cbsnews,RT @Wile_Coyote_ESQ: @Nickupcharge @CBSNews RIDE THE TRUMP TRAIN 2020! https://t.co/H5AMIpGmnr,0.0,0.0,0.0,1.0,1590293191.0
138,KennethHowardC3,@cbsnews,RT @Nickupcharge: @CBSNews Absolute blowout on deck. TRUMP 2020,0.0,0.0,0.0,1.0,1590293189.0
139,KennethHowardC3,@cbsnews,RT @dbillst: @CBSNews Ain’t no way she ie VP!!!,-0.4724,0.0,0.278,0.722,1590293188.0
140,KennethHowardC3,@cbsnews,RT @NancysBooze: @EluxTroxl @CBSNews https://t.co/KxXwnqNqrU,0.0,0.0,0.0,1.0,1590293187.0
141,KennethHowardC3,@cbsnews,RT @scottpw7: @CBSNews you need to start blocking the trolls,-0.3818,0.0,0.224,0.776,1590293183.0
142,KennethHowardC3,@cbsnews,RT @attyjimprice: @CBSNews It seems Biden wants to loose.,-0.3182,0.0,0.223,0.777,1590293182.0
143,KennethHowardC3,@cbsnews,RT @jaimeight: @CBSNews Solid pick. Need a president-in-waiting. Abrams or Whitmer second tier.’,0.1531,0.118,0.0,0.882,1590293180.0
144,driver8wlwt,@cbsnews,RT @CBSNews: CDC says COVID-19 not caught easily from surfaces and 40% of transmission occurs before people feel sick https://t.co/IDeBF3go…,-0.6526,0.0,0.229,0.771,1590293179.0
145,KennethHowardC3,@cbsnews,"RT @Chiclet20: @CBSNews Well, she couldn't possibly do any worse than the present POTUS.",-0.25,0.122,0.18,0.698,1590293179.0
146,KennethHowardC3,@cbsnews,RT @CBSNews: Biden asks Amy Klobuchar to undergo vetting as possible running mate https://t.co/h5gpEiAqT9 https://t.co/3eOGUZjeRd,0.0,0.0,0.0,1.0,1590293177.0
147,Open_it_up,@cbsnews,@Vernon95224001 @KevinDCrumJr @bradleyacooper_ @CBSNews @realDonaldTrump You told other people not to spend their time on this and you have written a book 😄,0.6705,0.18,0.0,0.82,1590293168.0
148,zebra418,@cbsnews,"ODD CBS News was just on the radio, NOT ONE WORD about Your Not Black. @CBSNews @realDonaldTrump #medialies",-0.4648,0.0,0.151,0.849,1590293158.0
149,s55_robert,@cbsnews,"@jchaven @CBSNews Harris isn’t gonna be much help to him with black voters anyway...

https://t.co/xuEC37w3Xj",0.4019,0.162,0.0,0.838,1590293157.0
150,NancysBooze,@cbsnews,@CBSNews https://t.co/7DfycuuqwT,0.0,0.0,0.0,1.0,1590293154.0
151,Hoffman11My,@cbsnews,"@sallyKP I'm not participating. I will give my lawyer a call and initiate a lawsuit against these organizations for violation of HIPAA laws and unlawful acts, as well as violation of privacy.
@CBSNews",-0.7351,0.053,0.211,0.736,1590293153.0
152,TweeetBug,@cbsnews,RT @CBSNews: Climate change is causing Antarctica's snow to turn green https://t.co/VEMBxzMZ43 https://t.co/gJCMQIpIje,0.0,0.0,0.0,1.0,1590293149.0
153,antisophistry,@cbsnews,RT @greta: 18-year-old given months to live marries his high school sweetheart https://t.co/PEF0xk0LnB via @CBSNews,0.6486,0.235,0.0,0.765,1590293148.0
154,sleepingnomore,@cbsnews,"RT @CBS_Herridge: More on Flynn, FISA, the unmasking controversy and how both political campaigns were under FBI in 2016. PLUS: A long time…",0.0,0.0,0.0,1.0,1590293144.0
155,VernaPolitics,@cbsnews,"RT @CBSNews: Retail job losses are now the highest on record: ""Astronomical"" layoffs https://t.co/6DTb0v1Vv9 https://t.co/uufTbhsKJX",-0.4019,0.0,0.162,0.838,1590293139.0
156,Oldlady12345,@cbsnews,RT @CBSNews: Retail worker creates Facebook support group for essential employees after she was allegedly attacked by a customer https://t.…,0.2023,0.194,0.121,0.685,1590293138.0
157,cchsctv,@cbsnews,RT @CBSNews: Biden asks Amy Klobuchar to undergo vetting as possible running mate https://t.co/h5gpEiAqT9 https://t.co/3eOGUZjeRd,0.0,0.0,0.0,1.0,1590293135.0
158,Nickupcharge,@cbsnews,@Wile_Coyote_ESQ @CBSNews I believe that’s an old meme from 2016,0.0,0.0,0.0,1.0,1590293134.0
159,MrsLove711,@cbsnews,RT @CBSNews: Hairstylist with coronavirus worked while symptomatic — exposing nearly 100 people https://t.co/xNEkuMQmMW https://t.co/HHHweJ…,-0.2732,0.0,0.13,0.87,1590293131.0
160,Salem_Blackcat2,@cbsnews,@CBSNews Who is she?,0.0,0.0,0.0,1.0,1590293128.0
161,NancysBooze,@cbsnews,@CBSNews https://t.co/b5g8lNHLD5,0.0,0.0,0.0,1.0,1590293127.0
162,GummyWorm4Life,@cbsnews,"RT @CBS_Herridge: More on Flynn, FISA, the unmasking controversy and how both political campaigns were under FBI in 2016. PLUS: A long time…",0.0,0.0,0.0,1.0,1590293123.0
163,roseattorney,@cbsnews,RT @CBSNews: Climate change is causing Antarctica's snow to turn green https://t.co/VEMBxzMZ43 https://t.co/gJCMQIpIje,0.0,0.0,0.0,1.0,1590293123.0
164,dZiiDb,@cbsnews,RT @CBSNews: Climate change is causing Antarctica's snow to turn green https://t.co/VEMBxzMZ43 https://t.co/gJCMQIpIje,0.0,0.0,0.0,1.0,1590293112.0
165,logical_steve_,@cbsnews,"@CBSNews So supposedly he leads in the polls but he’s barley winning primaries when no one else is in it 

Yeah right",-0.296,0.151,0.224,0.625,1590293112.0
166,cwrujd,@cbsnews,@ABC @CBSNews @NBCNews @CNN @MSNBC https://t.co/Vr9ydAbk2d,0.0,0.0,0.0,1.0,1590293109.0
167,Bularkey,@cbsnews,RT @CBSNews: Biden wins Hawaii primary but still short of enough delegates to clinch nomination https://t.co/DDoRj8xtOZ https://t.co/BOJG6j…,0.3291,0.128,0.0,0.872,1590293106.0
168,NancysBooze,@cbsnews,"@s55_robert @CBSNews I'm sure he is,....I'm sure he is. https://t.co/okPXN5oQmj",0.5574,0.365,0.0,0.635,1590293101.0
169,ZeusMGA,@cbsnews,RT @neednewprez01: @realDonaldTrump @jairbolsonaro U idiots need to STOP. Y’all are unethical lying cheating corrupt narcissist power grabb…,-0.9222,0.0,0.486,0.514,1590293100.0
170,Wetfeathers,@cbsnews,RT @robjgifford: WATCH @MajorCBS speak with @CBS_Herridge for this week’s @TakeoutPodcast on CBSN tonight at 9pm ET HERE: https://t.co/7pul…,0.0,0.0,0.0,1.0,1590293099.0
171,scottpw7,@cbsnews,@CBSNews you need to start blocking the trolls,-0.3818,0.0,0.271,0.729,1590293093.0
172,DJGREYBOY,@cbsnews,"@CBSNews hell fucking no....please,",-0.6808,0.0,0.605,0.395,1590293091.0
173,Wetfeathers,@cbsnews,"RT @CBS_Herridge: More on Flynn, FISA, the unmasking controversy and how both political campaigns were under FBI in 2016. PLUS: A long time…",0.0,0.0,0.0,1.0,1590293088.0
174,madquad10,@cbsnews,"RT @tercio_t4: Me ayudáis a difundir este video en ingles que corre por las redes hablando de las protestas en España?
@BBCWorld @CNN @CBSN…",0.0,0.0,0.0,1.0,1590293086.0
175,rjmangus,@cbsnews,"""Those surgical masks work"" said @NYGovCuomo Convenient choice of words by him @CBSNews as he probably already knows ""Face masks should NOT be used in place of surgical masks or filtering facepiece respirators to provide protections..."" https://t.co/D6ov7MfNVT #WearAMaskNY #COVID https://t.co/etl98xbb15",0.0,0.0,0.0,1.0,1590293085.0
176,Mrfredrick11,@cbsnews,RT @CBSNews: Biden asks Amy Klobuchar to undergo vetting as possible running mate https://t.co/h5gpEiAqT9 https://t.co/3eOGUZjeRd,0.0,0.0,0.0,1.0,1590293083.0
177,DementedMinx,@cbsnews,"RT @CBSNews: ""I’m possible, therefore nothing is impossible!"" This dog lost her front legs in an accident – but that hasn't stopped her fro…",-0.2484,0.074,0.148,0.778,1590293076.0
178,TinaAmber7,@cbsnews,@CBSNews On the upside a spell in jail gives them the rare opportunity to spend time with their daddies and sometimes even with their grandaddies.,0.4215,0.104,0.0,0.896,1590293071.0
179,Wile_Coyote_ESQ,@cbsnews,@Nickupcharge @CBSNews RIDE THE TRUMP TRAIN 2020! https://t.co/H5AMIpGmnr,0.0,0.0,0.0,1.0,1590293068.0
180,jaimeight,@cbsnews,@CBSNews Solid pick. Need a president-in-waiting. Abrams or Whitmer second tier.’,0.1531,0.138,0.0,0.862,1590293065.0
181,MKhaoS_86,@cbsnews,@CBSNews https://t.co/hhizGqkdtD,0.0,0.0,0.0,1.0,1590293060.0
182,kraigallen4,@cbsnews,"Any politician that infringes on your freedom, our constitution must be voted out, or thrown out. 
@NBCNews @CNN @ABC @CBSNews @MSNBC 👈🏼
Democrats always get a pass from these assholes. https://t.co/CJEOvEDERq",0.1027,0.098,0.088,0.814,1590293059.0
183,DAlanLambert2,@cbsnews,@CBSNews Posted 5x since YESTERDAY....,0.0,0.0,0.0,1.0,1590293051.0
184,mjvtjs,@cbsnews,RT @chipfranklin: .@SpeakerPelosi @SenSchumer @RepAdamSchiff @RepJerryNadler @JoeBiden @DNC @ProjectLincoln @MeidasTouch @rosie @MSNBC @NBC…,0.0,0.0,0.0,1.0,1590293049.0
185,WooWooSpaceJew,@cbsnews,"@DesiG1216 @limeyptwo @patrickmills @arto7 @kevinbu65998520 @artbcpa @StevenHarp_ @BoKnowsNews @amyklobuchar @JoeBiden @CBSNews @BadCOVID19Takes No, she didn't. This is obvious since it would have gotten her disbarred.",0.0,0.0,0.0,1.0,1590293040.0
186,attyjimprice,@cbsnews,@CBSNews It seems Biden wants to loose.,-0.3182,0.0,0.277,0.723,1590293040.0
187,ameskifluffball,@cbsnews,"@CBSNews Dems were feeling jealous of repubs being able to have a racist, sexist, sexual abusing corporate tool representing them so they went ahead and did the same with Biden.",-0.8591,0.04,0.267,0.693,1590293037.0
188,NancysBooze,@cbsnews,@EluxTroxl @CBSNews https://t.co/KxXwnqNqrU,0.0,0.0,0.0,1.0,1590293035.0
189,dbillst,@cbsnews,@CBSNews Ain’t no way she ie VP!!!,-0.4724,0.0,0.339,0.661,1590293031.0
190,JohnHime,@cbsnews,@CBSNews Ol’ Comfortable Shoes.....,0.5106,0.524,0.0,0.476,1590293026.0
191,cwrujd,@cbsnews,@ABC @CBSNews @NBCNews @CNN @MSNBC https://t.co/kfBaBorpqB,0.0,0.0,0.0,1.0,1590293011.0
192,jchaven,@cbsnews,"@CBSNews This campaign has gone 20-years ago white. 🙁
#BidenHarris",-0.2748,0.0,0.161,0.839,1590293009.0
193,nimrodog,@cbsnews,RT @CBSNews: Biden wins Hawaii primary but still short of enough delegates to clinch nomination https://t.co/DDoRj8xtOZ https://t.co/BOJG6j…,0.3291,0.128,0.0,0.872,1590293006.0
194,kraigallen4,@cbsnews,"@codeofvets Any politician that infringes on your freedom, our constitution must be voted out, or thrown out. 
@NBCNews @CNN @ABC @CBSNews @MSNBC 👈🏼
Democrats always get a pass from these assholes.",0.1027,0.098,0.088,0.814,1590293004.0
195,SchnoodleCat,@cbsnews,RT @CBSNews: Students won't have to take the SAT or ACT to get into the University of California for the next four years https://t.co/Tpq33…,0.0,0.0,0.0,1.0,1590292998.0
196,ExposeSweeden,@cbsnews,@HoosierPapaw @MazurikL @realDonaldTrump @USATODAY @CNN @abcnews @CBSNews @FoxNews @NBCNews @AP @nytimes @washingtonpost @Reuters @BBCWorld @NewsHour @JoeBiden @DNC @gtconway3d Stop watching fakenews and then you will see real news. @EpochTimes @gatewaypundit @Oann @JamesOKeefeIII @RichardGrenell @JudicialWatch @DailyCaller @X22Report @zeroHedge,-0.296,0.0,0.058,0.942,1590292994.0
197,kraigallen4,@cbsnews,"@TracyICQ Any politician that infringes on your freedom, our constitution must be voted out, or thrown out. 
@NBCNews @CNN @ABC @CBSNews @MSNBC 👈🏼
Democrats always get a pass from these assholes.",0.1027,0.098,0.088,0.814,1590292990.0
198,Bodshaw2,@cbsnews,@InAMadWorld111 @BrianGPowell @CBSNews What is sheeple?,0.0,0.0,0.0,1.0,1590292987.0
199,scottpw7,@cbsnews,@armmoran @CBSNews take more English classes,0.0,0.0,0.0,1.0,1590292987.0
200,plain_hiding,@cnn,"RT @SureReality: Dear @cnn and @msnbc - Get off the Joe-bashing. You reported the gaffe, you reported it again, then you reported his apolo…",0.3818,0.102,0.0,0.898,1590293333.0
201,LisaMcIntyre66,@cnn,RT @HerschelWalker: Wow. I just watched former Vice President @JoeBiden... Does he not understand that black and brown skinned people can t…,0.5859,0.153,0.0,0.847,1590293332.0
202,goldmann_oscar,@cnn,"@InspiredAction4 @CNN from one another, no we learn more about the virus every day, how it works, what its made out of and how it functions, no wonder people like you think its a hoax 2/2",-0.4588,0.061,0.159,0.78,1590293332.0
203,MonroeParker144,@cnn,RT @CNN: A school surprised a little girl by including a photo of her service dog in the yearbook https://t.co/QUjNjAgEwH,0.2263,0.091,0.0,0.909,1590293331.0
204,OneAndOnlyReTox,@cnn,"@CNN Put it on shark's heads, come on! https://t.co/c2ARsAsyTR",0.0,0.0,0.0,1.0,1590293331.0
205,BoogalooTexas,@cnn,"@CNN @DaveBautista Soon the world will know that @DaveBautista has been raping children. He can scream and cry all he wants as a diversion, but the world will soon know how disgusting he is!",-0.8932,0.0,0.28,0.72,1590293331.0
206,bitcoinjuggalo7,@cnn,RT @HerschelWalker: Wow. I just watched former Vice President @JoeBiden... Does he not understand that black and brown skinned people can t…,0.5859,0.153,0.0,0.847,1590293330.0
207,wash_keep,@cnn,RT @CNN: A school surprised a little girl by including a photo of her service dog in the yearbook https://t.co/QUjNjAgEwH,0.2263,0.091,0.0,0.909,1590293327.0
208,illuminateheros,@cnn,RT @JonGinTheD: @johnwelIs @CNN where’s the story? One of your peeps had a surveillance type pic of Trump on a golf course with a few peopl…,0.0,0.0,0.0,1.0,1590293326.0
209,sandcrapper,@cnn,"@muddavugger1 @chartreuxcat @ShawnGrams @MagaRosco @AubreyEl1 @iunderstoodu @Richard16211139 @EnragedApostate @JerseyGirl2inPA @fedmech @MarthaW19860146 @Write_call @10903 @Cigarvolante @dirkduck @ricklundl @RockDots @parkstorm @la_gata_negra17 @CPMF10 @mao2u2 @Kybelle195739 @evil_bastard @LuckyCharms1961 @Richardwaldo1 @CarterRussell @cspanwj @realDonaldTrump @JoeBiden @OANN @BreitbartNews @FoxNews @CNN @MSNBC @SenateGOP @LamarAlexander @AOC @GenFlynn @TheJusticeDept @BarackObama @irs @FBI He dicked around and cost thousands of lives. 
We stayed inside and saved millions.

Donny is a lying crook.
We remove the turd
On November third....

@cspanwj
 @realDonaldTrump 
#MemorialDay2020
#Congress
#VoteBlue",-0.1531,0.036,0.044,0.92,1590293323.0
210,susanmi96148849,@cnn,Haha @JDiamond1 almost called trump “drumpf” on air!! 👏👏👏👏Jeremy!! @cnn @wolfblitzer @CNNSitRoom,0.6331,0.188,0.0,0.812,1590293322.0
211,mariojosenyc,@cnn,Woke up and realized that @realDonaldTrump still around. @CNN @foxnewsalert @CBSNews,0.0,0.0,0.0,1.0,1590293322.0
212,incugneto,@cnn,RT @CNN: The US has successfully tested a new high-energy laser weapon that can destroy aircraft mid-flight https://t.co/NwBULyGQ9O,-0.3612,0.134,0.238,0.628,1590293322.0
213,Liberalsou,@cnn,RT @irishson1916: @realDonaldTrump @FoxNews @CNN https://t.co/kzzJFcwKqJ,0.0,0.0,0.0,1.0,1590293321.0
214,auntrosie_08,@cnn,RT @GhostBetsyRoss: .@CNN @MSNBC,0.0,0.0,0.0,1.0,1590293320.0
215,swapnaoe,@cnn,@CNN Finally!!!!!!,0.0,0.0,0.0,1.0,1590293320.0
216,WahKhanWah,@cnn,RT @CNN: Millions of cicadas are expected to emerge this year after 17 years underground https://t.co/f6GqE4iU7l,0.0,0.0,0.0,1.0,1590293319.0
217,NwaBiaf26910968,@cnn,RT @homelandlove: @MrSomtoOkonkwo @MaziNnamdiKanu @psj_ng @SilentNigeria @StateDept @EURACTIV @UN @EU_Commission @NigeriaGov International…,0.0,0.0,0.0,1.0,1590293317.0
218,Ceejay2313,@cnn,@RT_com @CNN Like RT is any better than CNN at the moment.,0.6597,0.351,0.0,0.649,1590293316.0
219,BusyBes,@cnn,@Tyler_Jordan84 @dgrahamm22 @CNN Fucking haircuts aren’t worth 91 people exposed.,0.2177,0.189,0.113,0.698,1590293314.0
220,jrock25665,@cnn,"@CNN It’s Saturday May 23rd, 2020 and Barack Obama was the most corrupt President in US history. 
Thanks. Have a good day.",0.7003,0.225,0.0,0.775,1590293312.0
221,AshleyGoynes,@cnn,"@dahone1 @DavidWohl @realDonaldTrump @FoxNews @CNN @seanhannity @TuckerCarlson @JudgeJeanine @marklevinshow You’re kidding, right?",0.1027,0.113,0.0,0.887,1590293312.0
222,lilla720,@cnn,RT @CNN: Millions of cicadas are expected to emerge this year after 17 years underground https://t.co/f6GqE4iU7l,0.0,0.0,0.0,1.0,1590293311.0
223,fleadip,@cnn,RT @CNN: A school surprised a little girl by including a photo of her service dog in the yearbook https://t.co/QUjNjAgEwH,0.2263,0.091,0.0,0.909,1590293311.0
224,debbiepond601,@cnn,@CNN Pretzel thinking gives me a headache. How do liberals do it?,0.0,0.0,0.0,1.0,1590293310.0
225,zebra418,@cnn,Free pass again for Joe Biden and Democrats by the Press.  @whpresscorps @CNN @CBSNews this is why no one trusts you guys.  @realDonaldTrump,-0.1164,0.118,0.169,0.713,1590293308.0
226,hubbs1014,@cnn,"RT @CHIZMAGA: If you’re criticizing one Candidate for playing Golf, yet completely ignore the other candidates Racist Remarks, you’re proba…",-0.8173,0.066,0.343,0.591,1590293307.0
227,jonette4Biden,@cnn,RT @CNN: Millions of cicadas are expected to emerge this year after 17 years underground https://t.co/f6GqE4iU7l,0.0,0.0,0.0,1.0,1590293307.0
228,MikeHat51160395,@cnn,@PastorCBates @CJBach1 @HerschelWalker @DonaldJTrumpJr @JoeBiden @FoxNews @espn @CNN @POTUS @realDonaldTrump I think you are missing the point. Biden insulted a race of people for thinking one way. Yet you bring up something that has nothing to do with what Biden stated,-0.6705,0.0,0.124,0.876,1590293307.0
229,RWRDad,@cnn,RT @HerschelWalker: Wow. I just watched former Vice President @JoeBiden... Does he not understand that black and brown skinned people can t…,0.5859,0.153,0.0,0.847,1590293306.0
230,Lid79908481,@cnn,@AuslandBorgar @realDonaldTrump @FoxNews @CNN Yeah Donney would like a suit like this,0.7351,0.444,0.0,0.556,1590293304.0
231,ashlisnchz,@cnn,RT @CNN: A school surprised a little girl by including a photo of her service dog in the yearbook https://t.co/QUjNjAgEwH,0.2263,0.091,0.0,0.909,1590293304.0
232,Liberalsou,@cnn,@realDonaldTrump @FoxNews @CNN Elections can be fixed.,0.0,0.0,0.0,1.0,1590293304.0
233,SweetLordHalle1,@cnn,@Anna63163557 @EricVonHaden1 @handel_l @ballweg_matt @YangGangAce @BrendaWinkowsk2 @realDonaldTrump @KayaJones0 @TomiLahren @JoeBiden @ShannonBream @JessicaTarlov @kayleighmcenany @ScottWalker @tammybaldwin @AnnaG3713 @benshapiro @HillaryClinton @ewjjr1 @garyhgoodridge @handelsblatt @BarackObama @jack @RealCandaceO @foxandfriends @SandraSmithFox @FLOTUS @NBCNews @LindseyGrahamSC @VP @senchuckschumer @SenSchumer @charliekirk11 @NRA @IvankaTrump @FoxNews @TuckerCarlson @MeghanMcCain @JoyVBehar @Ilhan @Paula_White @seanhannity @AlexaBliss_WWE @Pontifex @KayaJones @AOC @YaOnlyLivvOnce @bfsrocks @CNN @SashaBanksWWE Funny it be Tinkerbelle people think I am married lol to whom I want to meet this so called wife I don't have,0.7184,0.091,0.0,0.909,1590293303.0
234,DonaldMatulek,@cnn,RT @HerschelWalker: Wow. I just watched former Vice President @JoeBiden... Does he not understand that black and brown skinned people can t…,0.5859,0.153,0.0,0.847,1590293301.0
235,gustav_adolphus,@cnn,@cnn @MSNBC Please. I couldn’t give a damn if trump wears a mask. He’s an awful human being. We know that. Please report some real news. &amp; don’t show his tweets. Not news. Lazy journalism.,0.0026,0.158,0.134,0.707,1590293301.0
236,4Rhondack,@cnn,RT @1RoboBen: @JasonHoffman93 @abdallahcnn @CNN 's audience is aghast.🤦‍♂️🤣🤣🤣🤣🤣 https://t.co/JpempMykYr,0.9201,0.308,0.056,0.636,1590293300.0
237,gina_goldberg,@cnn,RT @CNN: A school surprised a little girl by including a photo of her service dog in the yearbook https://t.co/QUjNjAgEwH,0.2263,0.091,0.0,0.909,1590293299.0
238,Jdstasia,@cnn,"RT @CNN: Sitting in marked socially distanced circles in parks, hugging through plastic, masks everywhere - this is our new normal in pictu…",0.4215,0.113,0.0,0.887,1590293298.0
239,T2015Cubs,@cnn,"@Chris986547 @mileslaw2 @CNN And saying ""more"" people will die isn't good enough.  That's like a physicist using the word ""fast"" to describe speed.",-0.6211,0.086,0.226,0.688,1590293298.0
240,GabrielPerez58,@cnn,@realDonaldTrump @FoxNews @CNN Roger A was a prevert who took advantage of the individuals who helped him with his creation #shameful,-0.0258,0.162,0.126,0.711,1590293296.0
241,RiposteOFF,@cnn,@CNN CNN start to become more and more ridiculous.,-0.469,0.0,0.276,0.724,1590293296.0
242,emsb9786,@cnn,"RT @SureReality: Dear @cnn and @msnbc - Get off the Joe-bashing. You reported the gaffe, you reported it again, then you reported his apolo…",0.3818,0.102,0.0,0.898,1590293295.0
243,TheDieselTech,@cnn,RT @HerschelWalker: Wow. I just watched former Vice President @JoeBiden... Does he not understand that black and brown skinned people can t…,0.5859,0.153,0.0,0.847,1590293293.0
244,manuel_alarcon,@cnn,@CNNInternatDesk @BBCWorld @nytimes @TIME @CNNChile @CNN @washingtonpost @nbc @Reuters @AP @TelegraphNews @ONUChile @TelemundoNews @bbcmundo @dw_espanol @nytvideo @inddhh @tvn @DeutscheWelle @24horas @chvnoticias @meganoticias @tele13alahora @ApoderadosOrg https://t.co/spPVwT9GbU,0.0,0.0,0.0,1.0,1590293292.0
245,Catcher0Holden,@cnn,RT @CNN: A school surprised a little girl by including a photo of her service dog in the yearbook https://t.co/GaGPnJgUV3 https://t.co/KTao…,0.2263,0.087,0.0,0.913,1590293292.0
246,EbonyViera,@cnn,RT @CNN: A school surprised a little girl by including a photo of her service dog in the yearbook https://t.co/QUjNjAgEwH,0.2263,0.091,0.0,0.909,1590293291.0
247,femmesthetics,@cnn,"RT @SureReality: Dear @cnn and @msnbc - Get off the Joe-bashing. You reported the gaffe, you reported it again, then you reported his apolo…",0.3818,0.102,0.0,0.898,1590293289.0
248,IrvingGatell,@cnn,"@iAmCancun @OHarfuch @Claudiashein @CNN @AlJazeera_World @ONU_es @amnesty Lo que resulta ridículo es que @OHarfuch diga que ""la policía no actúa así"", cuando lo crítico del video es que se ve a la policía ACTUANDO ASÍ. Alguien le tiene que explicar a Harfuch que el primer paso para cambiar una realidad es aceptarla.",-0.296,0.0,0.041,0.959,1590293289.0
249,InacioTdS,@cnn,"CNN FAKE NEWS @CNN reporting on President Bolsonaro’s government meeting ignores that the Brazilian President is upset with misuse of federal money received by governors. Those governors are NOT using the money for the people. Yes, Bolsonaro swears - wouldn’t you? https://t.co/N5n16rxOwY",-0.6841,0.079,0.173,0.748,1590293289.0
250,DJHammersmith,@cnn,"@pragmatometer @CNN This is cognitive dissonance at its peak.

Downplayed the virus but focused on the fact that it was Chinese. Thus irrational and disproportionate impact on Chinese businesses.

Eat at a Chinese business cuz its just like any other business in the US to quell the irrational part.",0.1154,0.115,0.107,0.778,1590293289.0
251,NedaEmrani,@cnn,RT @CNN: A school surprised a little girl by including a photo of her service dog in the yearbook https://t.co/QUjNjAgEwH,0.2263,0.091,0.0,0.909,1590293287.0
252,HonestAbe4you,@cnn,"“I’m teaching my grandson Russian, I’m a patriot” #michaelflynn #crooks @TheRickWilson @CNN https://t.co/mdZAUvWrSj https://t.co/SYSrPGSbRj",0.0,0.0,0.0,1.0,1590293287.0
253,JustBel55581393,@cnn,"RT @BrunusCutis: Hey you guys, I don't think Joe Biden said what you think he said because @CNN isn't covering it at all. 

#YouAintBlack #…",0.0,0.0,0.0,1.0,1590293286.0
254,dlrcarolyn,@cnn,RT @CNN: A school surprised a little girl by including a photo of her service dog in the yearbook https://t.co/QUjNjAgEwH,0.2263,0.091,0.0,0.909,1590293286.0
255,idannyb,@cnn,"RT @smalltownandrew: Amy Klobuchar Confession : Hydroxychloroquine Saved her Husband's Life

Wow do you think @CNN or @MSNBC will talk abou…",0.765,0.258,0.0,0.742,1590293285.0
256,zalexandriaaaa,@cnn,RT @CNN: A school surprised a little girl by including a photo of her service dog in the yearbook https://t.co/QUjNjAgEwH,0.2263,0.091,0.0,0.909,1590293285.0
257,MrKjon,@cnn,@cnn Fake news Cnn sugested the VA experimented on VA patient with hydroxychloroquine.,-0.4767,0.0,0.205,0.795,1590293285.0
258,Blackdog8881,@cnn,@CNN Than I should be dead. The media kills more than Covid. #COVIDIOT,-0.8316,0.0,0.415,0.585,1590293283.0
259,goldmann_oscar,@cnn,"@InspiredAction4 @CNN jan 14 2020, whats todays date? do we have new information? see how that works? we find out new information and we change our stance , not rely on old tweets that say ""oh we found no transmission so through the lifespan of this virus theres NO WAY people can be infected from1/2",-0.8348,0.0,0.146,0.854,1590293282.0
260,IowaWizards,@cnn,"RT @smalltownandrew: Amy Klobuchar Confession : Hydroxychloroquine Saved her Husband's Life

Wow do you think @CNN or @MSNBC will talk abou…",0.765,0.258,0.0,0.742,1590293281.0
