,User,Search Term,Tweet Text,Compound Score,Positive,Neutral,Negative,Timestamp
31,ReviloBuzby,@bbcworld,RT @BBCWorld: Stan's Donuts: A farewell to a shop closed by coronavirus https://t.co/aCY4sJLQdq,0.0,0.0,0.0,1.0,1590293214.0
32,maltyjava,@bbcworld,RT @BBCWorld: Coronavirus: Which health claims are circulating online? https://t.co/J2MMJXyaKd,0.0,0.0,0.0,1.0,1590293209.0
33,MikeyRogers193,@bbcworld,@BBCWorld Why does ( BBC WORLD News)  have no black presenters It’s meant to represent Britain 🇬🇧,-0.296,0.0,0.121,0.879,1590293205.0
34,MABB5,@bbcworld,RT @BBCWorld: Coronavirus: Which health claims are circulating online? https://t.co/J2MMJXyaKd,0.0,0.0,0.0,1.0,1590293204.0
35,singer7654321,@bbcworld,"BBC News (World)・@BBCWorld 
タリバン、アフガニスタン政府との3日間のEid停戦を発表 https://t.co/BR6CseHs1l https://t.co/EqPxCwd0f2",0.0,0.0,0.0,1.0,1590293202.0
36,PamelaMartinezG,@bbcworld,"@dbenlloch @BBCWorld @nytimes @lemondefr @thetimes I might be wrong or might need to study some history but as far as I know, those flags are illegal.... What a shame of ""people"" (to call them somehow)",-0.9022,0.0,0.258,0.742,1590293184.0
37,AlleluiaSimon,@bbcworld,RT @BBCWorld: The Amazon rainforest - which plays a vital role in balancing the world's climate and helping fight global warming - is suffe…,0.6249,0.32,0.086,0.594,1590293177.0
38,jeogyjeogy,@bbcworld,"@MelpliusEli @BBCWorld No look in the mirror, you’re ugly, not just your looks, but your personality as well. Stan blackpink, twice, loona and red velvet 😍✨",0.7814,0.25,0.098,0.652,1590293176.0
39,888Wolfdog888,@bbcworld,@theKNIGHTGOLDEN @BBCWorld Spoken like a space cadet! Let's see you eat without money.,0.4199,0.189,0.0,0.811,1590293173.0
40,pngoyanka,@bbcworld,RT @Rakeshk49490377: @rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEngli…,0.0,0.0,0.0,1.0,1590293169.0
41,pngoyanka,@bbcworld,RT @vipulac2009: @rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEnglish @…,0.0,0.0,0.0,1.0,1590293168.0
42,pngoyanka,@bbcworld,RT @PareshBPatel9: @rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEnglish…,0.0,0.0,0.0,1.0,1590293166.0
43,pngoyanka,@bbcworld,RT @pngoyanka: @rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEnglish @aa…,0.0,0.0,0.0,1.0,1590293161.0
44,pngoyanka,@bbcworld,RT @DilipVa37961599: @rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEngli…,0.0,0.0,0.0,1.0,1590293158.0
45,pngoyanka,@bbcworld,RT @Topsingh6: @rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEnglish @aa…,0.0,0.0,0.0,1.0,1590293155.0
46,pngoyanka,@bbcworld,RT @Archana15189709: @rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEngli…,0.0,0.0,0.0,1.0,1590293154.0
47,pngoyanka,@bbcworld,RT @ashutoshhariom: @rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEnglis…,0.0,0.0,0.0,1.0,1590293153.0
48,CdnforTrump2016,@bbcworld,@c1tpyrc @Linda16425194 @BBCWorld No ones stopping anyone from staying at home. If you feel its too risky you should. If youre at risk and have to work ensure appropriate measures are in place.,-0.2631,0.106,0.16,0.734,1590293150.0
49,evageer3,@bbcworld,@BBCWorld for saefty precaution i pressume,0.0,0.0,0.0,1.0,1590293150.0
50,pngoyanka,@bbcworld,RT @Rakeshk49490377: @rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEngli…,0.0,0.0,0.0,1.0,1590293149.0
51,pngoyanka,@bbcworld,RT @Rakeshk49490377: @rajeshsetiaom @narendramodi @narendramodi_in @PMOIndia @AmitShah @AmitShahOffice @ombirlakota @BBCWorld @ZeeNewsEngli…,0.0,0.0,0.0,1.0,1590293147.0
